VideoAnalysis: Time (s),VideoAnalysis: X,X (m),X Absolute Value,VideoAnalysis: Y,Y (m),Y Absolute Value,VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity
3.301955556,-32.58070872,-0.032580709,0.032580709,226.5114529,0.226511453,0.226511453,-197.7530526,-210.8557328
3.368588889,-45.21920685,-0.045219207,0.045219207,207.3848041,0.207384804,0.207384804,-125.0771403,-153.6488923
3.435233333,-50.77936946,-0.050779369,0.050779369,199.6230966,0.199623097,0.199623097,-25.73422999,8.831521069
3.501877778,-48.40309885,-0.048403099,0.048403099,209.2136006,0.209213601,0.209213601,71.54516585,162.6125487
3.568522222,-40.25699468,-0.040256995,0.040256995,227.4938,0.2274938,0.2274938,150.5381564,213.0491363
3.635166667,-26.2284559,-0.026228456,0.026228456,245.952608,0.245952608,0.245952608,195.3488612,124.9381909
3.701811111,-12.60372782,-0.012603728,0.012603728,250.1110816,0.250111082,0.250111082,211.1858475,-56.63867753
3.768444444,1.851918427,0.001851918,0.001851918,236.4164632,0.236416463,0.236416463,218.1471921,-204.4481946
3.835088889,18.24896223,0.018248962,0.018248962,214.2068751,0.214206875,0.214206875,192.942209,-214.047002
3.901733333,30.00218307,0.030002183,0.030002183,199.0212634,0.199021263,0.199021263,128.6269745,-79.31324268
3.968377778,36.72330142,0.036723301,0.036723301,200.9471298,0.20094713,0.20094713,40.95772715,103.2229237
4.035022222,35.33714357,0.035337144,0.035337144,216.4666619,0.216466662,0.216466662,-45.26269329,223.9586296
4.101666667,29.27221758,0.029272218,0.029272218,239.0101704,0.23901017,0.23901017,-109.8519758,206.3418156
4.168311111,19.03328685,0.019033287,0.019033287,252.6504296,0.25265043,0.25265043,-147.4020193,48.24380922
4.234944444,9.621391467,0.009621391,0.009621391,248.0726142,0.248072614,0.248072614,-177.2467284,-150.1043067
4.301588889,-5.509861126,-0.005509861,0.005509861,227.039513,0.227039513,0.227039513,-189.019248,-256.5783798
4.368233333,-17.50381526,-0.017503815,0.017503815,203.4049391,0.203404939,0.203404939,-169.0281606,-193.4344558
4.434877778,-28.67073403,-0.028670734,0.028670734,193.6746545,0.193674655,0.193674655,-132.8169744,-5.191732088
4.501522222,-36.9760328,-0.036976033,0.036976033,202.3721156,0.202372116,0.202372116,-68.51332552,189.2241993
