VideoAnalysis: Time (s),VideoAnalysis: X,X (Correct Origin),X (cm),X Absolute Value,X (m),VideoAnalysis: Y,Y (Correct Origin),Y (cm),Y Absolute Value,Y (m),VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity,,,,,,,,,,,,,
1.902455556,570.1111185,-21.1111185,-2.11111185,2.11111185,0.021111119,387.9101886,-194.9101886,-19.49101886,19.49101886,0.194910189,-100.6501413,-109.8875762,,,,,,,,,,,,,
1.9691,562.197982,-13.19798204,-1.319798204,1.319798204,0.013197982,387.164692,-194.164692,-19.4164692,19.4164692,0.194164692,-145.5525312,103.8749512,,,,,,,,,,,,,
2.035744444,550.638901,-1.638900963,-0.163890096,0.163890096,0.001638901,405.8642333,-212.8642333,-21.28642333,21.28642333,0.212864233,-182.7757319,249.1748604,,,,,,,,,,,,,
2.102377778,535.022299,13.97770102,1.397770102,1.397770102,0.013977701,430.5743414,-237.5743414,-23.75743414,23.75743414,0.237574341,-178.3067512,229.3597095,,,,,,,,,,,,,
2.169022222,526.4141422,22.58585781,2.258585781,2.258585781,0.022585858,445.3367285,-252.3367285,-25.23367285,25.23367285,0.252336729,-160.4564098,62.90380028,,,,,,,,,,,,,
2.235666667,513.8727139,35.12728605,3.512728605,3.512728605,0.035127286,440.778327,-247.778327,-24.7778327,24.7778327,0.247778327,-137.0053093,-135.5096158,,,,,,,,,,,,,
2.302311111,505.3422131,43.65778694,4.365778694,4.365778694,0.043657787,422.0593717,-229.0593717,-22.90593717,22.90593717,0.229059372,-72.2815164,-246.8990511,,,,,,,,,,,,,
2.368955556,503.4745886,45.52541139,4.552541139,4.552541139,0.045525411,397.6598872,-204.6598872,-20.46598872,20.46598872,0.204659887,7.104785353,-192.8882213,,,,,,,,,,,,,
2.4356,506.2274903,42.77250965,4.277250965,4.277250965,0.04277251,388.9896057,-195.9896057,-19.59896057,19.59896057,0.195989606,89.31525705,-17.5879066,,,,,,,,,,,,,
2.502233333,515.748104,33.25189601,3.325189601,3.325189601,0.033251896,395.3224445,-202.3224445,-20.23224445,20.23224445,0.202322445,162.2518114,160.2311923,,,,,,,,,,,,,
2.568877778,529.8659471,19.13405294,1.913405294,1.913405294,0.019134053,416.5613338,-223.5613338,-22.35613338,22.35613338,0.223561334,202.628481,234.4727561,,,,,,,,,,,,,
2.635522222,544.1119224,4.888077638,0.488807764,0.488807764,0.004888078,436.1150901,-243.1150901,-24.31150901,24.31150901,0.24311509,217.2040623,153.0706181,,,,,,,,,,,,,
2.702166667,559.9343125,-10.93431249,-1.093431249,1.093431249,0.010934312,442.9488095,-249.9488095,-24.99488095,24.99488095,0.24994881,207.79318,-25.96516041,,,,,,,,,,,,,
2.768811111,573.2173546,-24.2173546,-2.42173546,2.42173546,0.024217355,431.1878231,-238.1878231,-23.81878231,23.81878231,0.238187823,171.098767,-182.7052312,,,,,,,,,,,,,
2.835455556,584.3182659,-35.31826586,-3.531826586,3.531826586,0.035318266,411.1526002,-218.1526002,-21.81526002,21.81526002,0.2181526,106.9308529,-217.3829953,,,,,,,,,,,,,
2.902088889,588.97762,-39.97762001,-3.997762001,3.997762001,0.03997762,393.5984835,-200.5984835,-20.05984835,20.05984835,0.200598483,16.7851164,-110.1522011,,,,,,,,,,,,,
2.968733333,586.306257,-37.30625696,-3.730625696,3.730625696,0.037306257,391.9366472,-198.9366472,-19.89366472,19.89366472,0.198936647,-72.15808719,70.85970879,,,,,,,,,,,,,
3.035377778,579.6860913,-30.68609128,-3.068609128,3.068609128,0.030686091,405.945772,-212.945772,-21.2945772,21.2945772,0.212945772,-160.683778,203.2239634,,,,,,,,,,,,,
3.102022222,562.9046508,-13.90465076,-1.390465076,1.390465076,0.013904651,427.3593871,-234.3593871,-23.43593871,23.43593871,0.234359387,-216.719265,199.2133485,,,,,,,,,,,,,
3.168666667,547.9636551,1.036344876,0.103634488,0.103634488,0.001036345,441.4461678,-248.4461678,-24.84461678,24.84461678,0.248446168,-228.3077596,53.00011264,,,,,,,,,,,,,
3.235311111,532.463537,16.53646301,1.653646301,1.653646301,0.016536463,436.3791202,-243.3791202,-24.33791202,24.33791202,0.24337912,-228.1943252,-125.8542126,,,,,,,,,,,,,
3.301955556,516.0548448,32.9451552,3.29451552,3.29451552,0.032945155,418.7201679,-225.7201679,-22.57201679,22.57201679,0.225720168,-197.7530526,-210.8557328,,,,,,,,,,,,,
3.368588889,503.4163467,45.58365332,4.558365332,4.558365332,0.045583653,399.5935192,-206.5935192,-20.65935192,20.65935192,0.206593519,-125.0771403,-153.6488923,,,,,,,,,,,,,
3.435233333,497.8561841,51.14381594,5.114381594,5.114381594,0.051143816,391.8318117,-198.8318117,-19.88318117,19.88318117,0.198831812,-25.73422999,8.831521069,,,,,,,,,,,,,
3.501877778,500.2324547,48.76754532,4.876754532,4.876754532,0.048767545,401.4223157,-208.4223157,-20.84223157,20.84223157,0.208422316,71.54516585,162.6125487,,,,,,,,,,,,,
