VideoAnalysis: Time (s),X (m) Trial 1,Y (m) Trial 1,X (m) Trial 2,Y (m) Trial 2,X (m) Trial 3,Y (m) Trial 3,Average X Position,Uncertainty X,Average Y Position,Uncertainty Y,,,
2.866666667,-0.000671898,0.249237453,-0.002183146,0.253244952,0.051199818,0.112799599,0.016114925,0.030393803,0.205094001,0.079954409,,,
2.933333333,-0.016172017,0.244170405,0.008732585,0.247423229,0.015999943,0.106399622,0.002853504,0.016872506,0.199331085,0.08049744,,,
3,-0.032580709,0.226511453,0.022559177,0.228502629,-0.019199932,0.083199704,-0.009740488,0.028761303,0.179404595,0.083321828,,,
3.066666667,-0.045219207,0.207384804,0.033474907,0.214676037,-0.052799812,0.060799784,-0.021514704,0.047772999,0.160953542,0.08681228,,,
3.133333333,-0.050779369,0.199623097,0.03929663,0.211765175,-0.074399735,0.05919979,-0.028627491,0.059997876,0.156862687,0.08479616,,,
3.2,-0.048403099,0.209213601,0.03929663,0.226319483,-0.082399707,0.073599738,-0.030502059,0.062791999,0.169710941,0.083673026,,,
3.266666667,-0.040256995,0.2274938,0.037113484,0.241601506,-0.078399721,0.09839965,-0.027181077,0.058856265,0.189164985,0.07892095,,,
3.333333333,-0.026228456,0.245952608,0.0283809,0.253244952,-0.063999772,0.121599568,-0.020615776,0.046445385,0.206932376,0.073990274,,,
3.4,-0.012603728,0.250111082,0.0189206,0.253244952,-0.042399849,0.12079957,-0.012027659,0.030664283,0.208051868,0.075578951,,,
3.466666667,0.001851918,0.236416463,0.008732585,0.240146075,-0.017599937,0.100799642,-0.002338478,0.013657232,0.19245406,0.079396957,,,
3.533333333,0.018248962,0.214206875,-0.001455431,0.22049776,0.007999972,0.07039975,0.008264501,0.009854859,0.168368128,0.084901391,,,
3.6,0.030002183,0.199021263,-0.015282023,0.21103746,0.039199861,0.047999829,0.01797334,0.029164854,0.152686184,0.090859903,,,
3.666666667,0.036723301,0.20094713,-0.021103746,0.213948321,0.05919979,0.051199818,0.024939782,0.041428287,0.15536509,0.090443688,,,
3.733333333,0.035337144,0.216466662,-0.025470038,0.232868921,0.071999744,0.077599724,0.02728895,0.04923078,0.175645102,0.085304928,,,
3.8,0.029272218,0.23901017,-0.022559177,0.251061806,0.074399735,0.10959961,0.027037592,0.048518067,0.199890529,0.078426067,,,
3.866666667,0.019033287,0.25265043,-0.017465169,0.256883529,0.07039975,0.131199534,0.023989289,0.044141618,0.213577831,0.071373088,,,
3.933333333,0.009621391,0.248072614,-0.011643446,0.24887866,0.061599781,0.124799556,0.019859242,0.037679607,0.207250277,0.071405556,,,
4,-0.005509861,0.227039513,-0.005821723,0.232868921,0.047199832,0.09839965,0.011956083,0.030522381,0.186102695,0.07600897,,,
4.066666667,-0.017503815,0.203404939,0.007277154,0.213948321,0.0279999,0.060799784,0.005924413,0.022781999,0.159384348,0.085539336,,,
4.133333333,-0.028670734,0.193674655,0.013826592,0.21103746,0.007999972,0.043199846,-0.00228139,0.023038782,0.149303987,0.092298067,,,
4.2,-0.036976033,0.202372116,0.021831461,0.219042329,-0.015199946,0.051199818,-0.010114839,0.029731702,0.157538088,0.092468074,,,
4.266666667,-0.038257355,0.225948448,0.027653184,0.236507498,-0.034399878,0.083199704,-0.015001349,0.036990228,0.181885217,0.085627076,,,
4.333333333,-0.035539399,0.248185215,0.032019477,0.253244952,-0.051199818,0.117599582,-0.018239913,0.044224619,0.20634325,0.076895898,,,
4.4,-0.029497769,0.256214836,0.030564046,0.256155813,-0.05919979,0.130399536,-0.019377838,0.0457296,0.214256729,0.072622465,,,
